label	NCBI.Genus.species	Kingdom	Phylum	Class	Group	Color.Clade
ABK63476.1	Bacillus_licheniformis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
AGW99983.1	Bacillus_thuringiensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_064778981.1	Bacillus_siamensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_024715905.1	Bacillus_tequilensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
AOO87088.1	Lactobacillus_plantarum	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
ADO21451.1	Geobacillus_stearothermophilus	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
ALE32753.1	Bacillus_velezensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
AGW99984.1	Bacillus_cereus	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_124043315.1	Bacillus_subtilis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_087987044.1	Bacillus_intestinalis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
AGW99981.1	Bacillus_megaterium	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_103671508.1	Bacillus_halotolerans	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_095260012.1	Bacillus_sonorensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_075754720.1	Bacillus_paralicheniformis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_063211283.1	Paenibacillus_jamilae	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_076294350.1	Paenibacillus_peoriae	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_068504790.1	Paenibacillus_kribbensis	Bacteria	Firmicutes	Bacilli	Bacilli	grey80
WP_117601320.1	Bacteroides_uniformis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_025834437.1	Bacteroides_stercorirosoris	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_029429011.1	Bacteroides_cellulosilyticus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_004345518.1	Prevotella_buccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_018463217.1	Prevotella_paludivivens	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_118200058.1	Prevotella_copri	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes	burlywood2
WP_031456055.1	Flavobacterium_chungangense	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_089051590.1	Flavobacterium_hercynium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_091133552.1	Flavobacterium_anhuiense	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_111289016.1	Flavobacterium_ginsenosidimutans	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	cornsilk4
WP_091155250.1	Mucilaginibacter_pineti	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_091211959.1	Mucilaginibacter_gossypiicola	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_121811567.1	Mucilaginibacter_kameinonensis	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_099437345.1	Pedobacter_ginsengisoli	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_109926791.1	Pedobacter_yonginense	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_123204458.1	Pedobacter_jejuensis	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_087149417.1	Algoriphagus_resistens	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_111317262.1	Algoriphagus_chordae	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_091691733.1	Algoriphagus_locisalis	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_103923692.1	Algoriphagus_boritolerans	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	cadetblue1
WP_013780740.1	Mahella_australiensis	Bacteria	Firmicutes	Firmicutes	Clostridia	grey80
CUN41483.1	Catenibacterium_mitsuokai	Bacteria	Firmicutes	Firmicutes	Firmicutes	coral2
AAC15708.1	Heterodera_glycines	Eukaryota	Nematoda	Tylenchidae	Tylenchida	Red
AER27804.1	Globodera_pallida	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
AHW98760.1	Globodera_rostochiensis	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
AAR37374.1	Meloidogyne_incognita	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
CAJ77137.1	Meloidogyne_javanica	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
AER27761.1	Meloidogyne_artiellia	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
AER27799.1	Hirschmanniella_gracilis	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
AFD33558.1	Aphelenchoides_fragariae	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
CDM79919.1	Pratylenchus_vulnus	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
ABV54446.1	Radopholus_similis	Eukaryota	Nematoda	Secernentea	Tylenchida	Red
WP_010552982.1	Pseudoalteromonas_arctica	Bacteria	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_033021923.1	Pseudoalteromonas_distincta	Bacteria	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_033030188.1	Pseudoalteromonas_fuliginea	Bacteria	Proteobacteria	gammaProteobacteria	Alteromonadales	lightblue
WP_012765495.1	Dickeya_paradisiaca	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_022634109.1	Dickeya_solani	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039692237.1	Dickeya_fangzhongdai	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_027711642.1	Dickeya_chrysanthemi	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_038904963.1	Dickeya_zeae	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_110371222.1	Erwinia_sp.	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_084560698.1	Phaseolibacter_flectens	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
AXF77819.1	Erwinia_tracheiphila	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_006122111.1	Pantoea_stewartii	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_103415919.1	Dickeya_dianthicola	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_005972423.1	Pectobacterium_wasabiae	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_107167542.1	Pectobacterium_punjabense	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_113631628.1	Pectobacterium_peruviense	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039299339.1	Pectobacterium_betavasculorum	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039467713.1	Pectobacterium_carotovorum	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_039292168.1	Pectobacterium_atrosepticum	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_014700240.1	Pectobacterium_parmentieri	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_120358761.1	Pectobacterium_polaris	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_121574223.1	Brenneria_alni	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_121589321.1	Brenneria_goodwinii	Bacteria	Proteobacteria	gammaProteobacteria	Enterobacterales	darkgreen
WP_020737533.1	Sorangium_cellulosum	Bacteria	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_063748716.1	Chondromyces_apiculatus	Bacteria	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_063796371.1	Chondromyces_crocatus	Bacteria	Proteobacteria	deltaProteobacteria	Myxococcales	orange
WP_106375204.1	Halomonas_songnenensis	Bacteria	Proteobacteria	gammaProteobacteria	Oceanospirillales	lightgreen
WP_012488564.1	Cellvibrio_japonicus	Bacteria	Proteobacteria	gammaProteobacteria	Pseudomonadales	yellow
WP_039917233.1	Cellvibrio_mixtus	Bacteria	Proteobacteria	gammaProteobacteria	Pseudomonadales	yellow
WP_081941534.1	Vibrio_maritimus	Bacteria	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_038184058.1	Vibrio_rhizosphaerae	Bacteria	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_072954959.1	Vibrio_gazogenes	Bacteria	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_077333113.1	Vibrio_ruber	Bacteria	Proteobacteria	gammaProteobacteria	Vibrionales	blue
WP_087482160.1	Vibrio_mangrovi	Bacteria	Proteobacteria	gammaProteobacteria	Vibrionales	blue
